timestamp,open,high,low,close,volume
2022-10-31,4.5300,5.0999,4.5100,5.0000,62413344
2022-10-28,4.4200,4.6200,4.4100,4.5900,23049417
2022-10-27,4.4500,4.4950,4.3300,4.4400,20389031
2022-10-26,4.4300,4.6998,4.3400,4.3900,27333559
2022-10-25,4.3000,4.6800,4.3000,4.5900,27127979
2022-10-24,4.4600,4.4700,4.1500,4.3000,24895942
2022-10-21,4.3400,4.5450,4.1500,4.5300,25031192
2022-10-20,4.3300,4.4872,4.2900,4.3800,19256793
2022-10-19,4.2300,4.4500,4.1900,4.3600,28161595
2022-10-18,4.5500,4.5950,4.3000,4.4000,27803330
2022-10-17,4.2400,4.4500,4.1500,4.3900,16911799
2022-10-14,4.2000,4.3750,4.0300,4.1200,33547380
2022-10-13,3.8900,4.2400,3.7900,4.1700,44842759
2022-10-12,4.0900,4.2200,3.9500,4.1100,21452354
2022-10-11,4.2100,4.2200,4.0300,4.1000,37428605
2022-10-10,4.3900,4.3900,4.1641,4.2900,20906579
2022-10-07,4.6700,4.6800,4.3400,4.3900,31445055
2022-10-06,4.9900,5.1000,4.6900,4.6900,24763567
2022-10-05,4.8000,5.1100,4.7900,5.0100,30924738
2022-10-04,4.8800,4.9750,4.6100,4.9200,60999172
2022-10-03,4.5800,4.8100,4.5150,4.7300,25010577
2022-09-30,4.4200,4.6300,4.3200,4.4000,29916471
2022-09-29,4.6800,4.6800,4.3900,4.4400,24214382
2022-09-28,4.5000,4.8600,4.4900,4.8100,28529025
2022-09-27,4.6200,4.8700,4.4400,4.5600,25833312
2022-09-26,4.5700,4.8200,4.5000,4.5100,26628407
2022-09-23,4.8400,4.8900,4.6000,4.7200,31548556
2022-09-22,5.2200,5.3300,4.8600,4.9800,27043376
2022-09-21,5.2400,5.4200,5.0800,5.2400,18935818
2022-09-20,5.2400,5.3150,5.1400,5.2200,17222659
2022-09-19,5.1000,5.3800,4.9700,5.3300,26914445
2022-09-16,5.3100,5.3300,5.0000,5.2800,41237403
2022-09-15,5.3800,5.8100,5.3400,5.5100,31673766
2022-09-14,5.2500,5.4400,5.1900,5.4200,18597891
2022-09-13,5.1600,5.4500,5.0600,5.3100,22059001
2022-09-12,5.4850,5.5900,5.3200,5.5100,24600162
2022-09-09,5.1500,5.4000,5.0800,5.3900,27940997
2022-09-08,4.9400,5.1160,4.8600,5.0600,18881783
2022-09-07,4.7300,5.0100,4.6800,4.9800,14102208
2022-09-06,5.0000,5.0100,4.7100,4.7200,21807086
2022-09-02,4.8400,5.0800,4.8305,4.9400,27505632
2022-09-01,4.8800,4.9600,4.6200,4.9000,22356697
2022-08-31,4.8600,4.9700,4.8100,4.9000,16511724
2022-08-30,4.9700,5.0400,4.8100,4.8900,23266318
2022-08-29,4.8400,5.0900,4.8100,4.9200,24337624
2022-08-26,5.0400,5.0800,4.8407,4.9400,29103490
2022-08-25,4.9000,5.0586,4.8400,4.9900,39194062
2022-08-24,4.5400,5.1800,4.5000,4.9500,52965202
2022-08-23,4.5000,4.7500,4.4000,4.5600,35232396
